"source_path","title","knowledge_action","knowledge_target","knowledge_type","knowledge_roles","provider_scope","canonical_source","current_status","requires_manual_review","reason","content_hash","reviewed_at"
"docs/01_理解/01_システム概要.md","システム概要","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/01_理解/01_システム概要.md","current","yes","現行の利用者向け仕様へ再構成する主要情報源","1ba055915288ed9ce824f61d59ccb5cb2f686e4fceadbc4005e016caae2501e3","2026-07-15"
"docs/01_理解/02_キャラクター・エージェント仕様.md","キャラクター・エージェント仕様（最小統合版）","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/01_理解/02_キャラクター・エージェント仕様.md","current","yes","現行の利用者向け仕様へ再構成する主要情報源","ad3f82db19ef0392627f579cfc84791b60824d6f74ef42bb90b074404e119ead","2026-07-15"
"docs/02_正本仕様/01_仕様.md","RenCrow 現行仕様","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/02_正本仕様/01_仕様.md","current","yes","現行の利用者向け仕様へ再構成する主要情報源","3a8ddf6501fefa84253eddf02910fe04e2a50352d6b6795c1e5eb7e3f7dd9be3","2026-07-15"
"docs/02_正本仕様/01_仕様/01_全体構成・役割.md","現行仕様: 全体構成・役割","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/02_正本仕様/01_仕様/01_全体構成・役割.md","current","yes","現行の利用者向け仕様へ再構成する主要情報源","7db5c09f0473f83268ce7a73fb7c95fb7dda2d9e692be33ad00adc8200ebb6ea","2026-07-15"
"docs/02_正本仕様/01_仕様/02_ルーティング・出力契約.md","現行仕様: ルーティング・出力契約","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/02_正本仕様/01_仕様/02_ルーティング・出力契約.md","current","yes","現行の利用者向け仕様へ再構成する主要情報源","7dde14ac9d3a26ebc1f518e1d6ec3927006167ad16873705f2b23ebb96f66d34","2026-07-15"
"docs/02_正本仕様/01_仕様/03_表示・安全・状態管理.md","現行仕様: 表示・安全・状態管理","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/02_正本仕様/01_仕様/03_表示・安全・状態管理.md","current","yes","現行の利用者向け仕様へ再構成する主要情報源","666ee3aa9c9bfa7c746ddf69c5e95844a0397f718f1da8e0b4251dd87fb332f1","2026-07-15"
"docs/02_正本仕様/01_仕様/04_LLM運用・拡張性.md","現行仕様: LLM運用・拡張性","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/02_正本仕様/01_仕様/04_LLM運用・拡張性.md","current","yes","現行の利用者向け仕様へ再構成する主要情報源","d89960aa1efab109cbbaa575748232eb2249aefb0807e6550067d27e5b325e25","2026-07-15"
"docs/02_正本仕様/02_実装仕様.md","RenCrow 統合実装仕様","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","d5ef0d7388d089611e40680dde3fc4c8197231f7f760cd67f4ac0dfcc3afb0e1","2026-07-15"
"docs/02_正本仕様/02_実装仕様/01_エージェント・責務境界.md","統合実装仕様: エージェント・責務境界","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/01_エージェント・責務境界.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","2e23cf8a997dee6d8e9ac80510d6dc886a15870fc097c6ad01e5a4e1061c2086","2026-07-15"
"docs/02_正本仕様/02_実装仕様/02_ルーティング・ループ制御.md","統合実装仕様: ルーティング・ループ制御","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/02_ルーティング・ループ制御.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","e043641652afd3a1a7166bbcdc7ef8a432471039f0c6bd235cee4dca5e3624c7","2026-07-15"
"docs/02_正本仕様/02_実装仕様/03_IO・Worker契約.md","統合実装仕様: I/O・Worker契約","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/03_IO・Worker契約.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","33a5aa8f870b6a4ddb91e87b819491551427e1c33136fa4f9c12259807be546d","2026-07-15"
"docs/02_正本仕様/02_実装仕様/04_安全・ログ・Prompt・状態管理.md","統合実装仕様: 安全・ログ・Prompt・状態管理","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/04_安全・ログ・Prompt・状態管理.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","d925ffdadc2357317249675e275f25bfd1b0262b360a05e53a44c9a31307f875","2026-07-15"
"docs/02_正本仕様/02_実装仕様/05_Heartbeat・合議制.md","統合実装仕様: Heartbeat・合議制","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/05_Heartbeat・合議制.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","de1b00d0a58da39b5f9cfacdee59d449afc20065279a27d95996d53019f13f5a","2026-07-15"
"docs/02_正本仕様/02_実装仕様/06_参照・実装状況.md","統合実装仕様: 参照・実装状況","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/06_参照・実装状況.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","41a4bf888f59acd91475d05a290dfd9ddc1e1b8c323137a7e31c2712c7e9bfdc","2026-07-15"
"docs/02_正本仕様/02_実装仕様/07_Memory_Lifecycle・Recall_Context.md","Memory Lifecycle・Recall Context 実装契約","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/07_Memory_Lifecycle・Recall_Context.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","7d7c6aa94478e08b4ff8f7acd35bc0714ef353e6c5dddcd16f451e5cd0c0a670","2026-07-15"
"docs/02_正本仕様/02_実装仕様/08_TTS・Viewer同期契約.md","TTS・Viewer同期実装契約","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/08_TTS・Viewer同期契約.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","a45183652f8cc68f5fd70ea2dd4233a723bba802dda54bcd3b9eeb0a8bf70836","2026-07-15"
"docs/02_正本仕様/02_実装仕様/09_Viewer_API・表示契約.md","Viewer API・表示実装契約","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/02_実装仕様/09_Viewer_API・表示契約.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","672eaf326ff5f89a961ec71b44d28e315fd8f4b5e5933df0fd619473f60b72a5","2026-07-15"
"docs/02_正本仕様/03_Runtime_Config.md","RenCrow Runtime Config","promote","spec:runtime-config","spec","chat,worker,coder","any","docs/02_正本仕様/03_Runtime_Config.md","current","yes","local pathとprivate topologyを除き、公開設定仕様へ再構成する","da0dc7584ba92067cf34a7e00366b3381ce25414a90d51fdccd5d03d28a2fbdd","2026-07-15"
"docs/02_正本仕様/04_IdleChat.md","04_IdleChat.md","promote","spec:idlechat","spec","chat,worker,coder","any","docs/02_正本仕様/04_IdleChat.md","current","yes","利用者向け挙動だけを公開機能仕様へ再構成する","25425c2da57fa3082959ce280549fb3de69e212c4f61d2992a7a68056112238c","2026-07-15"
"docs/02_正本仕様/05_RenCrow_CORE_Ver0.80_モジュール構成仕様.md","RenCrow_CORE Ver0.80 モジュール構成仕様","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/05_RenCrow_CORE_Ver0.80_モジュール構成仕様.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","502eb354e37b663d08e0241d38bde4daeb37e799c28e2be7c54a4ee472b22437","2026-07-15"
"docs/02_正本仕様/06_RenCrow_CORE_Ver0.80_モジュール化実装仕様.md","RenCrow_CORE Ver0.80 モジュール化実装仕様","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/06_RenCrow_CORE_Ver0.80_モジュール化実装仕様.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","977d289ed4755fde1f2ef01911b879acbbb3fad489b2c50b65661d5d4a2db421","2026-07-15"
"docs/02_正本仕様/07_RenCrow_CORE_Ver0.80_組み換え実装作業資料.md","RenCrow_CORE Ver0.80 組み換え実装作業資料","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/07_RenCrow_CORE_Ver0.80_組み換え実装作業資料.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","42d9772238627156bafa465186f55650b4686e79df842f5d9ee50440bbc9ecfc","2026-07-15"
"docs/02_正本仕様/08_RenCrow_CORE_Ver0.80_Public_Repo起点化仕様.md","RenCrow_CORE Ver0.80 Public Repo 起点化仕様","distill","candidate:implementation-invariants","spec","worker,coder","local_only","docs/02_正本仕様/08_RenCrow_CORE_Ver0.80_Public_Repo起点化仕様.md","mixed","yes","Mainから外し、不変条件と責務境界だけを再検証して蒸留する","db6453b3d1fe4136a9532f49e35154ae8caddf8489888acdabc99d511c4b42a5","2026-07-15"
"docs/02_正本仕様/09_Game_Bridge_Observer_API.md","Game Bridge Observer API 仕様 v0.1","promote","spec:public-api","spec","chat,worker,coder","any","docs/02_正本仕様/09_Game_Bridge_Observer_API.md","current","yes","絶対pathを除きPublic API契約へ統合する","1d82814fe6c9dc434660b1519ab67726542efcb25ad98277bad2d1dfa897e469","2026-07-15"
"docs/02_正本仕様/10_RenCrow_ToBe_統合仕様.md","RenCrow To-Be 統合仕様","distill","spec:roadmap","spec","chat,worker,coder","any","docs/02_正本仕様/10_RenCrow_ToBe_統合仕様.md","current_target","yes","実装済みと構想を分離してPublic roadmapへ再構成する","8591408d459b4a7c75fe7761f9d033231dae4b7022a2a937ffe29e883374719f","2026-07-15"
