"source_path","title","document_class","main_action","knowledge_action","knowledge_target","knowledge_type","knowledge_roles","provider_scope","canonical_source","current_status","superseded_by","contains_local_metadata","requires_manual_review","reason","source_state","content_hash","bytes","reviewed_at"
"docs/00_引き継ぎ/01_次の担当者への依頼文.md","次の担当者への依頼文","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","69d86984f1a0eab0500d07c19e4fd2c5f06341309aa5602c88d126b4d118bac9","2601","2026-07-15"
"docs/00_引き継ぎ/02_初回作業チェックリスト.md","初回作業チェックリスト","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","1c9d730a955787cb59953387e42fde4b50a8a90f48be9605104a1beabe8a5595","2402","2026-07-15"
"docs/00_引き継ぎ/03_ドキュメント編集ルール.md","ドキュメント編集ルール","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","67671afe930c96ecc56579f560e4d2d116c7cd2deb5412d55f4a4e0abdbace59","2799","2026-07-15"
"docs/00_引き継ぎ/04_作業チケット雛形.md","作業チケット雛形","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","0fa91bc7742ff9b370498da72e9b757bb8c31a8cbb5368fe936c99174462311f","2286","2026-07-15"
"docs/00_引き継ぎ/05_引き継ぎ対象外.md","引き継ぎ対象外","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","8da97db2f77014c5e375229609416d6497696f85dac3c5472e05730906c6347a","1125","2026-07-15"
"docs/00_引き継ぎ/06_未解決論点リスト.md","未解決論点リスト","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","9cc948a73e4312772b00119d0f548636b1d71c28bb74cec721e51fa54bc395fe","2959","2026-07-15"
"docs/00_引き継ぎ/DOCチケット_Kin_CODE4整合性.md","[DOC] Kin / CODE4 の正本整合性を確認する","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","4caebafa508e4739fe6664a8833dd46d0a8d7a884f5c40b89e01cd44b2055fe3","2192","2026-07-15"
"docs/00_引き継ぎ/DOCチケット_risk_high停止ルール.md","[DOC] risk=high 時の停止ルールを確認する","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","d26c586fcc2d4da2c8600d9e88611b7321cc3da833941b4181a43792198711ae","1839","2026-07-15"
"docs/00_引き継ぎ/DOCチケット_サニタイズ責務.md","[DOC] サニタイズ責務の所在を確認する","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","df6b82d556cb7e10936f87fe07337d94bb7358643ff0ebc743dcb32ca9543851","2003","2026-07-15"
"docs/00_引き継ぎ/DOCチケット_初回未解決論点.md","[DOC] 初回未解決論点の整理","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","c57bee97e78431481270184d5bf7085336e32aa574dd2e86d65bb5f5190e3235","2887","2026-07-15"
"docs/00_引き継ぎ/DOCチケット_承認フロー存廃.md","[DOC] 承認フロー存廃の現行判断を確定する","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","0a8ed3cad37cce0476c90984ed2ab7eeab4b3da0b087254cf851874322669a23","1949","2026-07-15"
"docs/00_引き継ぎ/タスク一覧.csv","タスク一覧.csv","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","4ffcb228fbed2fd4f0c1af71ac4d2a3af8cdb02f754f31112512b1895d838018","1464","2026-07-15"
"docs/00_引き継ぎREADME.md","ドキュメント整理 引き継ぎREADME","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","73ad5da26d495c24c522c79bb861fa04ff5500114b260d8ce25c0883d1ce1ab2","2566","2026-07-15"
"docs/00_読む順番.md","読む順番","handoff_and_governance","remove","history_only","","","","none","","historical_or_operational","","no","yes","引き継ぎ、整理根拠、文書棚卸しの監査用","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","d5b3da37e49490c0a88f54110c51923561fd710442bfe8ca4cc45838a3b386ab","3868","2026-07-15"
"docs/01_理解/01_システム概要.md","システム概要","public_spec_source","rewrite","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/01_理解/01_システム概要.md","current","","no","yes","現行の利用者向け仕様へ再構成する主要情報源","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","1ba055915288ed9ce824f61d59ccb5cb2f686e4fceadbc4005e016caae2501e3","2393","2026-07-15"
"docs/01_理解/02_キャラクター・エージェント仕様.md","キャラクター・エージェント仕様（最小統合版）","public_spec_source","rewrite","promote","spec:system-and-features","spec","chat,worker,coder","any","docs/01_理解/02_キャラクター・エージェント仕様.md","current","","no","yes","現行の利用者向け仕様へ再構成する主要情報源","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","ad3f82db19ef0392627f579cfc84791b60824d6f74ef42bb90b074404e119ead","10797","2026-07-15"
"docs/02_正本仕様/00_正本仕様Tree.md","RenCrow_CORE 正本仕様Tree","archive_reference","remove","history_only","","","","none","","historical","","no","yes","Mainの通常仕様ではなく、履歴確認用の資料","origin/main@21929006dee7176327de00fc4b0b868d13832537+docs-snapshot-20260715","e44375de4ea59299820555ec6f8257f0471e822c9ca422c6fad6e10ccc0bec39","11876","2026-07-15"
